package,version,license,module,decision,evidence,condition,quote,repo_modules
lightningcss (the twelve MPL-2.0 lightningcss packages; individual names not listed),,MPL-2.0,services/vios,conditional,comment-19,"Cleared only because they are development-only dependencies pulled in transitively by vite and are not shipped; if they ever ship, the copyleft analysis changes.","We also confirmed the twelve MPL-2.0 lightningcss packages are development-only dependencies pulled in transitively by vite and are not shipped, so no copyleft obligation arises from them.",services/vios
"Logstash configuration file(s) (logstash.yml, pipelines-kafka.yml, pipelines-redis.yml)",,Apache-2.0,tools/logstash-plugins,conditional,comment-74,The Logstash configuration file must be provided under Apache-2.0 (i.e. licensed/headered as Apache-2.0 rather than the SSPLv2/AGPLv3 dual header applied to Redis/Elasticsearch/Kibana configs).,The Logstash configuration file should be provided under Apache-2.0.,tools/logstash-plugins
minio server,,,services/vios,conditional,comment-53,"Approval carried over from [internal approval reference] only for the hosted-service usage model: downloaded by the customer via the NVIDIA-provided helm chart and NOT distributed by NVIDIA. Reviewer asks for confirmation the usage model is unchanged; comment #52 supplies that confirmation (""In VSS GA release, we are not distributing minio server, grafana and prometheus to customers, only used in internal development."").","#34: minio server - this was approved in bug [internal link] for use as a hosted service, downloaded by customer and not provided by NVIDIA (via helm chart). Please confirm this is still the usage model and NVIDIA is not distributing this software",services/vios
mkl,,Intel Simplified Software License,services/rtvi/rt-embed;services/rtvi/rt-vlm,conditional,comment-15,NOT cleared by OSRB — requires BU attorney confirmation via [internal alias] that the redistribution terms are satisfied for shipping these binaries in the container.,"mkl and tbb are listed under the Intel Simplified Software License, which is a proprietary redistribution EULA rather than an open-source license. Since this isn't one of our standard permissive/copyleft categories, please reach out to your BU attorney via [internal alias] to confirm the redistribution terms are satisfied for shipping these binaries in the container.",services/rtvi/rt-embed;services/rtvi/rt-vlm
"new repositories/code paths, dependency updates and current repository state (blanket, no packages named)",,"Apache 2.0 (release licence of the project, per the comment)",the new repositories/code paths added to this request (comme,conditional,comment-91,VP approval still outstanding: 'please have the closest VP in your management chain approve the release of the project code in this OSRB bug comment thread.' All other Apache 2.0 requirements 'appear complete'.,"For the record, based on our review to date, the Apache 2.0 requirements below appear complete except for the VP approval item. We have no further OSRB concerns with the new additions, dependency updates, or current repository state.",
oci-openai,,,,conditional,comment-74,Add the applicable license identifier for the component (OSRB flagged it as missing a license identifier); no explicit approval sentence in this comment.,"Lastly, the two components langchain-oci and oci-openai are missing license identifiers. Please add the applicable license identifiers for those components as well.",
"previously approved repositories and code paths (blanket, no packages named)",,,previously approved repositories and code paths (whole-reque,conditional,comment-91,They must remain within the previously approved scope and no new license-related changes may be introduced.,"Repositories and code paths that were previously approved are conditionally approved to proceed/push, provided they remain within the previously approved scope and no new license-related changes are introduced.",
redis,7.4.0,,services/rtvi/rt-cv-3d/rt-cv-bev-fusion;services/rtvi/rt-cv-3d/rt-cv-config-init;services/rtvi/rt-cv-3d/rt-cv-mv3dt,conditional,comment-22,"Correct the version or the component name: 7.4.0 is a Redis server version (RSALv2/SSPL, not open source), not the MIT-licensed redis-py whose licence text is currently used. Flagged as non-blocking.","One non-blocking fix: in rt-cv-bev-fusion/3rdParty_Licenses.md, the redis:7.4.0 entry is labeled MIT with redis-py’s license text, but 7.4.0 is a Redis server version (RSALv2/SSPL, not open source). Please correct the version or the component name.",services/rtvi/rt-cv-3d/rt-cv-bev-fusion;services/rtvi/rt-cv-3d/rt-cv-config-init;services/rtvi/rt-cv-3d/rt-cv-mv3dt
Redis configuration file (redis.conf),,recipient's choice of Server Side Public License v2 (SSPLv2) or GNU Affero General Public License v3 (AGPLv3),deploy/docker/services/infra/redis/configs,conditional,comment-74,Add a file header offering the recipient the choice of SSPLv2 or AGPLv3; update the top-level LICENSE file to state the config files are dual-licensed; include the full text of both SSPLv2 and AGPLv3 in the repository.,"For the Redis, Elasticsearch, and Kibana configuration files, please add a file header that offers the recipient the choice of licenses as follows: This file is provided under your choice of: (a) the Server Side Public License v2 (SSPLv2); or (b) the GNU Affero General Public License v3 (AGPLv3). … Please also update the top-level LICENSE file to make clear that these configuration files are dual-",
"RTVI Embed GHCR package list — 35 entries (individual names not enumerated in the comment; linked as ""RTVI Embed GHCR Pa",,,services/rtvi/rt-embed,conditional,comment-15,"Correct the two wrong license links (hydra-core links to aiohappyeyeballs's LICENSE; pymediainfo links to async-timeout's LICENSE), confirm pymediainfo invokes no codec logic, and obtain Legal confirmation of the Intel Simplified Software License terms for mkl/tbb. Not yet cleared.","Thanks for the RTVI Embed GHCR package list. I reviewed all 35 entries for copyleft, encryption, and codec concerns: No copyleft (GPL/LGPL/AGPL/MPL) components — everything is MIT, BSD, or Apache 2.0, aside from two items noted below. ... Two items need attention before this can be cleared: ... Once the license links are corrected and Legal has confirmed the Intel licensing terms, let us know and ",services/rtvi/rt-embed
tbb,,Intel Simplified Software License,services/rtvi/rt-embed;services/rtvi/rt-vlm,conditional,comment-15,NOT cleared by OSRB — requires BU attorney confirmation via [internal alias] that the redistribution terms are satisfied for shipping these binaries in the container.,"mkl and tbb are listed under the Intel Simplified Software License, which is a proprietary redistribution EULA rather than an open-source license. Since this isn't one of our standard permissive/copyleft categories, please reach out to your BU attorney via [internal alias] to confirm the redistribution terms are satisfied for shipping these binaries in the container.",services/rtvi/rt-embed;services/rtvi/rt-vlm
via/long-video-summarization repository,,Apache-2.0 (headers required),services/video-summarization,conditional,comment-83,Add or regenerate docker/logstash/pb_definitions/nv_pb.rb and src/protos/nv_pb2.py with SPDX-License-Identifier: Apache-2.0 and the NVIDIA CORPORATION & AFFILIATES copyright header.,via/long-video-summarization: LICENSE and CONTRIBUTING.md look good. Two generated files are missing the required Apache2 SPDX/NVIDIA header: docker/logstash/pb_definitions/nv_pb.rb and src/protos/nv_pb2.py.,services/video-summarization
"via/via-ctx-rag repository (LICENSE, DCO contribution language, source headers, LICENSE.3rdparty)",,,services/video-summarization,conditional,comment-83,"Clean pass covers LICENSE / DCO contribution language / source headers / presence of LICENSE.3rdparty only. The comment grants no package-level dependency approval, and the surrounding batch was still awaiting OSRB sign-off and VP approval.","via/via-ctx-rag: LICENSE, DCO contribution language, and source headers look good from the completed checks. LICENSE.3rdparty is present; no source-header or contribution-process fixes are requested for this repo.",services/video-summarization
RTVI Embed source batch (comment #15 batch) — rtvi_embed_server.py and api_models/common.py,,currently advertises proprietary licensing; must become Apache-2.0,services/rtvi/rt-embed,refused,comment-95,Update services/rtvi/rt-embed/src/server/rtvi_embed_server.py and services/rtvi/rt-embed/src/api_models/common.py so the license identifier is Apache-2.0 and the URL points to the final public Apache 2.0 license location.,"The source headers look good overall, but the following items need to be addressed before this batch can be approved: RTVI Embed: The source still advertises proprietary licensing in the service metadata/license API.",services/rtvi/rt-embed
RTVI VLM source batch (comment #15 batch) — proprietary licence metadata in rtvi_vlm_server.py and api_models/common.py,,currently advertises LicenseRef-NvidiaProprietary; must become Apache-2.0,services/rtvi/rt-vlm,refused,comment-93,"Refusal lifts only if the metadata/`/license` responses and LicenseInfo.name example are changed to Apache-2.0 with the public Apache 2.0 licence URL, or the team explains why proprietary metadata should remain.","Until this is addressed, we cannot treat the comment #15 RTVI VLM batch as ready for approval.",services/rtvi/rt-vlm
